,Unnamed: 0.1,Unnamed: 0,id,title,location,city,price,original_price,discount,m2,hab,floor,air,terrace,storage,elevator,garage,outside,wardrobes,pool,garden,satus,energy,co2,status
187,187,187,105496704,Piso en venta en calle de Galileu,Les Corts,Barcelona,430000.0,430000,0,87.0,3.0,Planta 5ª exterior con ascensor,False,False,False,True,False,True,True,False,False,Buen estado,,,
188,188,188,104759308,Piso en venta en calle del Doctor Ferran,Pedralbes,Barcelona,1200000.0,1200000,0,164.0,4.0,Planta 2ª exterior con ascensor,False,False,True,True,False,True,True,True,False,A reformar,,,
189,189,189,105576663,Ático en venta en avenida de Madrid,Les Corts,Barcelona,615000.0,615000,0,88.0,4.0,Planta 9ª exterior con ascensor,True,True,False,True,False,True,False,False,False,Buen estado,191,39,
190,190,190,104758941,Piso en venta en calle de Rubió i Lluch,Pedralbes,Barcelona,1200000.0,1200000,0,164.0,4.0,Planta 2ª exterior con ascensor,False,False,True,True,False,True,True,True,False,A reformar,,,
191,191,191,105279396, Casa o chalet independiente en venta en calle de l'Abadessa Olzet,Pedralbes,Barcelona,10000000.0,10000000,0,900.0,7.0,,True,True,True,False,True,False,True,True,False,Buen estado,,,
192,192,192,105455204,Ático en venta en avenida de Madrid,Les Corts,Barcelona,615000.0,615000,0,110.0,4.0,,True,True,False,True,False,True,True,False,False,Buen estado,191,39,
193,193,193,104947419,Piso en venta en calle del Vallespir,Les Corts,Barcelona,220000.0,220000,0,63.0,3.0,Planta 4ª interior con ascensor,False,False,False,True,False,False,False,False,False,A reformar,,,
194,194,194,105501210, Casa o chalet independiente en venta en avenida d'Esplugues,Pedralbes,Barcelona,2900000.0,2900000,0,400.0,4.0,,True,True,True,False,True,False,True,True,False,Buen estado,,,
195,195,195,102802751,Piso en venta en avenida Josep Tarradellas,Les Corts,Barcelona,630000.0,630000,0,107.0,3.0,Planta 2ª exterior con ascensor,True,False,False,True,False,True,False,False,False,Buen estado,145,28,
196,196,196,105720658,Piso en venta en calle de Solà,Les Corts,Barcelona,468000.0,468000,0,60.0,1.0,Planta 1ª exterior con ascensor,True,False,False,True,True,True,False,False,False,Buen estado,100,10,
197,197,197,105726541,Piso en venta en La Maternitat i Sant Ramón,La Maternitat i Sant Ramon,Barcelona,695000.0,695000,0,150.0,4.0,Planta 2ª exterior con ascensor,True,False,False,True,False,True,True,False,False,Buen estado,14,,
198,198,198,105749339,Piso en venta en calle de Novell,Les Corts,Barcelona,400000.0,"
405000 €
",0,62.0,2.0,Planta 3ª exterior con ascensor,True,True,False,True,False,True,False,False,False,Buen estado,100,10,
199,199,199,105983102,"Piso en venta en calle de Numància, 105",Les Corts,Barcelona,540000.0,540000,0,83.0,3.0,Planta 2ª exterior con ascensor,True,True,True,True,True,True,False,False,False,Buen estado,,,
200,200,200,103274237,Piso en venta en calle del Capitán Arenas,Pedralbes,Barcelona,795000.0,795000,0,154.0,3.0,Planta 1ª exterior con ascensor,False,True,False,True,False,True,True,False,False,Buen estado,,,
201,201,201,103873542,Piso en venta en calle Pobla de lillet con carlos III,Les Corts,Barcelona,290000.0,290000,0,72.0,2.0,,False,False,False,True,False,True,True,False,False,Buen estado,,,
202,202,202,105498570,Piso en venta en Pedralbes,Les Corts,Barcelona,1200000.0,"
1320000 €
",0,217.0,5.0,Planta 4ª exterior con ascensor,True,True,True,True,True,True,True,False,False,Buen estado,,,
